,rxn_id,rxn_smiles,predicted_activation_energy,predicted_reaction_energy
24396,24405,[CH3:20][O:21][C:22](=[O:23])[N-:24][NH+:25]=[NH:26].[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]#[C:7][C:8]([F:9])([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][CH2:17][CH2:18][CH2:19]1>>[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]2=[C:7]([C:8]([F:9])([c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[CH2:16][CH2:17][CH2:18][CH2:19]1)[NH:26][NH:25][N:24]2[C:22]([O:21][CH3:20])=[O:23],20.874233,-31.315313
26604,26614,[CH3:16][C:17](=[O:18])[N:19]=[N+:20]([CH3:21])[NH-:22].[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]#[C:7][C:8]([F:9])([C:10]#[N:11])[CH2:12][CH2:13][CH2:14][CH2:15]1>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]2=[C:7]([C:8]([F:9])([C:10]#[N:11])[CH2:12][CH2:13][CH2:14][CH2:15]1)[N:19]([C:17]([CH3:16])=[O:18])[N:20]([CH3:21])[NH:22]2,20.68285,-33.62956
26653,26663,[CH3:18][C:19](=[O:20])[N:21]=[N+:22]([CH3:23])[NH-:24].[CH3:1][O:2][C:3]1([C:4]([CH3:5])=[O:6])[C:7]#[C:8][C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1>>[CH3:1][O:2][C:3]1([C:4]([CH3:5])=[O:6])[C:7]2=[C:8]([C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1)[N:21]([C:19]([CH3:18])=[O:20])[N:22]([CH3:23])[NH:24]2,20.317982,-30.768774
26654,26664,[CH3:18][C:19](=[O:20])[N:21]=[N+:22]([CH3:23])[NH-:24].[CH3:1][O:2][C:3]1([C:4]([CH3:5])=[O:6])[C:7]#[C:8][C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1>>[CH3:1][O:2][C:3]1([C:4]([CH3:5])=[O:6])[C:7]2=[C:8]([C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1)[NH:24][N:22]([CH3:23])[N:21]2[C:19]([CH3:18])=[O:20],20.698534,-30.238562
26737,26747,[CH3:21][C:22](=[O:23])[N:24]=[N+:25]([CH3:26])[NH-:27].[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]#[C:7][C:8]([C:9]#[N:10])([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18][CH2:19][CH2:20]1>>[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]2=[C:7]([C:8]([C:9]#[N:10])([c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[CH2:17][CH2:18][CH2:19][CH2:20]1)[N:24]([C:22]([CH3:21])=[O:23])[N:25]([CH3:26])[NH:27]2,18.58094,-31.338282
26738,26748,[CH3:21][C:22](=[O:23])[N:24]=[N+:25]([CH3:26])[NH-:27].[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]#[C:7][C:8]([C:9]#[N:10])([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18][CH2:19][CH2:20]1>>[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]2=[C:7]([C:8]([C:9]#[N:10])([c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[CH2:17][CH2:18][CH2:19][CH2:20]1)[NH:27][N:25]([CH3:26])[N:24]2[C:22]([CH3:21])=[O:23],18.329214,-31.425587
26787,26797,[CH3:19][C:20](=[O:21])[N:22]=[N+:23]([CH3:24])[NH-:25].[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[C:8]#[C:9][C:10]([C:11]#[N:12])([C:13]#[N:14])[CH2:15][CH2:16][CH2:17][CH2:18]1>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[C:8]2=[C:9]([C:10]([C:11]#[N:12])([C:13]#[N:14])[CH2:15][CH2:16][CH2:17][CH2:18]1)[NH:25][N:23]([CH3:24])[N:22]2[C:20]([CH3:19])=[O:21],19.824581,-31.40688
26788,26798,[CH3:19][C:20](=[O:21])[N:22]=[N+:23]([CH3:24])[NH-:25].[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[C:8]#[C:9][C:10]([C:11]#[N:12])([C:13]#[N:14])[CH2:15][CH2:16][CH2:17][CH2:18]1>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[C:8]2=[C:9]([C:10]([C:11]#[N:12])([C:13]#[N:14])[CH2:15][CH2:16][CH2:17][CH2:18]1)[N:22]([C:20]([CH3:19])=[O:21])[N:23]([CH3:24])[NH:25]2,19.677021,-31.546566
26822,26832,[CH3:1][O:2][C:3]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[C:10]#[C:11][C:12]([C:13]#[N:14])([C:15]#[N:16])[CH2:17][CH2:18][CH2:19][CH2:20]1.[CH3:21][C:22](=[O:23])[N:24]=[N+:25]([CH3:26])[NH-:27]>>[CH3:1][O:2][C:3]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[C:10]2=[C:11]([C:12]([C:13]#[N:14])([C:15]#[N:16])[CH2:17][CH2:18][CH2:19][CH2:20]1)[NH:27][N:25]([CH3:26])[N:24]2[C:22]([CH3:21])=[O:23],20.506014,-29.792591
26823,26833,[CH3:1][O:2][C:3]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[C:10]#[C:11][C:12]([C:13]#[N:14])([C:15]#[N:16])[CH2:17][CH2:18][CH2:19][CH2:20]1.[CH3:21][C:22](=[O:23])[N:24]=[N+:25]([CH3:26])[NH-:27]>>[CH3:1][O:2][C:3]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[C:10]2=[C:11]([C:12]([C:13]#[N:14])([C:15]#[N:16])[CH2:17][CH2:18][CH2:19][CH2:20]1)[N:24]([C:22]([CH3:21])=[O:23])[N:25]([CH3:26])[NH:27]2,20.077755,-30.028004
27070,27080,[CH3:20][C:21](=[O:22])[N:23]=[N+:24]([CH3:25])[NH-:26].[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]#[C:7][C:8]([F:9])([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][CH2:17][CH2:18][CH2:19]1>>[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]2=[C:7]([C:8]([F:9])([c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[CH2:16][CH2:17][CH2:18][CH2:19]1)[NH:26][N:24]([CH3:25])[N:23]2[C:21]([CH3:20])=[O:22],17.817358,-33.886147
27071,27081,[CH3:20][C:21](=[O:22])[N:23]=[N+:24]([CH3:25])[NH-:26].[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]#[C:7][C:8]([F:9])([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][CH2:17][CH2:18][CH2:19]1>>[N:1]#[C:2][C:3]1([C:4]#[N:5])[C:6]2=[C:7]([C:8]([F:9])([c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[CH2:16][CH2:17][CH2:18][CH2:19]1)[N:23]([C:21]([CH3:20])=[O:22])[N:24]([CH3:25])[NH:26]2,18.158415,-33.658905
27126,27136,[CH3:18][C:19](=[O:20])[N:21]=[N+:22]([CH3:23])[NH-:24].[CH3:1][C:2](=[O:3])[C:4]1([C:5]#[N:6])[C:7]#[C:8][C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1>>[CH3:1][C:2](=[O:3])[C:4]1([C:5]#[N:6])[C:7]2=[C:8]([C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1)[NH:24][N:22]([CH3:23])[N:21]2[C:19]([CH3:18])=[O:20],19.569098,-32.417892
