,dipole_smiles,G_act_min,G_act_mean,G_act_st_dev,G_r_min,G_r_mean,G_r_std_dev
0,CNC(=O)C(=[NH+][C-](C(C)=O)C(=O)OC)c1ccccc1,21.74467,30.53782126315789,5.272389582826735,-23.229252,-7.107231268421053,6.581713946136537
1,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C#N,20.909184,30.8250453,5.776866023266477,-27.944147,-10.777846822499999,7.5372815092556005
2,CC(=O)C(=[O+][C-](C#N)C#N)c1ccccc1,6.010953,11.690361142857146,3.0296301200035507,-48.7044,-32.75781809523809,7.732518113808367
3,C[C-]([O+]=C(C#N)C#N)c1ccccc1,11.222896,17.157575095238094,3.107063590321575,-40.650795,-24.891818047619047,7.349802334182496
4,COC(=O)C(=[NH+][C-](C#N)C(C)=O)C(=O)OC,16.954561,22.7006298,3.681547759931249,-24.468433,-9.477454231,6.804724377909149
5,COC(=O)[C-]([NH+]=C(C)C(C)=O)C(C)=O,19.067371,28.014450684210523,4.914515541868882,-22.968311,-7.634439392105264,6.318848490478172
6,[CH2-][O+]=CC(=O)NC,-3.6843746,6.431792178260871,5.551776851563472,-67.72444,-53.923771260869565,12.154502910487533
7,COC(=O)C(C#N)=[N+](C)[N-]c1ccccc1,17.310978,24.08419,3.5868431426939624,-20.299269,-6.796075395238094,6.837832464784605
8,CC(=O)[N-][N+](C)=C(C)C#N,16.29833,23.551272,3.592909573395356,-26.263973,-12.638372799999999,6.289143318536604
9,N#CC(=[NH+][C-](C#N)c1ccccc1)c1ccccc1,12.496692,22.258156933333332,4.095962441497279,-23.15704,-9.959524413333332,7.393942633800516
10,C[N-][NH+]=C(C(=O)OC)C(=O)OC,19.215101,27.341120411764702,3.2467860439858267,-17.706747,-4.713599115294119,5.140072340323164
11,COC(=O)C(=[NH+][C-](C(=O)OC)C(=O)OC)C(=O)OC,16.31953,23.557324666666666,4.2728222444783786,-29.057861,-12.024817,9.058134380565523
12,CNC(=O)[C-]([NH+]=C(C(C)=O)C(C)=O)C(=O)NC,19.38126,27.765214523809533,4.553781034664124,-26.720074,-10.160972619047621,7.526182874591796
13,CNC(=O)C(=[NH+][CH-]C(=O)OC)C(=O)NC,10.578467,22.02150014285714,4.113938151045459,-32.125668,-16.310411547619044,6.712961824131502
14,CC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)c1ccccc1,18.31911,28.809648384615386,5.78486048052994,-21.10904,-7.109751284615386,7.089479570886227
15,CNC(=O)C(=[O+][C-](C#N)C(C)=O)C(=O)NC,5.032022,10.161856857142856,3.026403849922958,-54.82237,-39.38487695238094,7.398528680564389
16,CC=[NH+][C-](C#N)C(C)=O,14.697184,23.003045842105262,3.7735958400027756,-16.441998,-4.877991152631579,4.7032738405649726
17,COC(=O)C(C#N)=[N+](C)[C-](C#N)C(C)=O,18.651922,25.135411571428573,4.099287437900428,-29.111637,-14.009864042857146,7.4623998858867635
18,CC(=O)C(C#N)=[NH+][C-](C#N)C#N,16.873898,21.551592900000003,3.147510861082082,-20.631596,-8.477735212499999,6.150067655737353
19,CNC(=O)[C-](C(=O)NC)[N+](C)=Cc1ccccc1,7.7773337,21.932496319047612,5.220383602067306,-37.619728,-23.505733714285718,6.208742466219944
20,COC(=O)[N-][O+]=Nc1ccccc1,7.199206,11.991423333333332,2.2360481671424774,-48.24739,-34.88481219047619,6.28164902628019
21,COC(=O)C(C#N)=[NH+][C-](C)C#N,13.744756,21.015719761904762,3.683353842523888,-24.807999,-11.097010842857141,6.502461450207399
22,COC(=O)N=[O+][N-]c1ccccc1,4.935019,9.1090036,2.1185887310529177,-49.04742,-35.79300285714286,6.061350194202051
23,CNC(=O)[C-]([NH+]=C(C)C(=O)OC)c1ccccc1,11.25995,25.946135476190474,5.300111325323645,-30.30694,-13.110874665238091,7.349733073205097
24,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1,38.879646,45.993492222222216,4.668373120177167,-10.524916,-0.22808518777777773,4.355386164571289
25,CNC(=O)[CH-][O+]=C(C#N)C(=O)OC,2.662651,9.99217834347826,6.863242480737148,-55.36143,-38.06255038695652,14.348060500792505
26,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(=O)NC,24.279112,34.10459576190476,5.566372899408293,-30.405914,-13.658363685714287,8.005601056708198
