,dipole_smiles
0,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC
1,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)c1ccccc1
2,[O-][NH+]=C(c1ccccc1)c1ccccc1
3,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)C#N
4,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
5,CC(=O)[c-]1[nH+]noc1=O
6,CNC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
7,CNC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
8,CC(=O)[C-]([NH+]=C(C)c1ccccc1)C(C)=O
9,COC(=O)[N-][NH+]=Nc1ccccc1
10,C[C-](c1ccccc1)[N+](C)=C(C#N)C#N
11,COC(=O)[C-]([N+]#N)C(=O)OC
12,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
13,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
14,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)c1ccccc1
15,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)c1ccccc1
16,CC(=O)N=[N+](C)[O-]
17,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C
18,CN=[NH+][N-]C(=O)OC
19,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
20,COC(=O)[N-][N+](C)=C(c1ccccc1)c1ccccc1
21,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)c1ccccc1
22,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C(=O)NC
23,CC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
24,COC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
25,CN=[N+](C)[N-]C(=O)OC
26,CNC(=O)[N-][NH+]=NC(=O)OC
27,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(=O)OC
28,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(=O)OC)c1ccccc1
29,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
30,O=c1[n-][nH+]c(-c2ccccc2)o1
31,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)c1ccccc1
32,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C
33,CNC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
34,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
35,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
36,C[N+](=C(C#N)C#N)[C-](c1ccccc1)c1ccccc1
37,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)OC
38,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)NC
39,COC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(C)=O
40,CNC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
41,COC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
42,CC(=O)[C-](C#N)[N+]#N
43,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(=O)OC
44,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)C(=O)NC
45,CC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
46,CC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(C)=O
47,O=c1on[nH+][c-]1-c1ccccc1
48,CNC(=O)[C-](C)[N+](C)=C(C(=O)OC)C(=O)OC
49,COC(=O)[c-]1[nH+]noc1=O
50,CC(=O)c1oc(=O)[n-][n+]1C
51,COC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
52,COC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)c1ccccc1
53,COC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
54,CC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
55,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
56,CC(=O)C(C#N)=[N+](C)[C-](C)C
57,CC(=O)[N-][NH+]=N
58,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
59,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
60,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C
61,COC(=O)[N-][NH+]=C(c1ccccc1)c1ccccc1
62,C[N-][N+]#N
63,CNC(=O)N=[NH+][O-]
64,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
65,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)OC
66,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
67,CNC(=O)[c-]1c(=O)on[n+]1C
68,CNC(=O)[c-]1[nH+]noc1=O
69,COC(=O)[N-][N+]#N
70,C[c-]1[nH+]noc1=O
71,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
72,CN=[NH+][N-]C(=O)NC
73,C[N+](=C(c1ccccc1)c1ccccc1)[C-](c1ccccc1)c1ccccc1
74,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(=O)OC
75,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C(C)=O
76,CC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
77,CNC(=O)c1[nH+][n-]c(=O)o1
78,COC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
79,COC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
80,COC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
81,CNC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
82,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
83,CNC(=O)N=[NH+][N-]C(=O)NC
84,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
85,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
86,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
87,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)NC
88,CNC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
89,COC(=O)[C-](C#N)[N+](C)=C(C)C
90,CNC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
91,CNC(=O)[N-][NH+]=Nc1ccccc1
92,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
93,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C
94,CN=[N+](C)[O-]
95,CC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
96,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
97,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
98,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC
99,CNC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
100,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
101,COC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1
102,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)NC
103,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
104,CNC(=O)c1oc(=O)[n-][n+]1C
105,CNC(=O)[N-][N+](C)=N
106,CN=[NH+][N-]C(C)=O
107,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)c1ccccc1
108,CC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
109,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
