,dipole
0,CNC(=O)C(=[NH+][C-](C(C)=O)C(=O)OC)c1ccccc1
1,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C#N
2,CC(=O)C(=[O+][C-](C#N)C#N)c1ccccc1
3,C[C-]([O+]=C(C#N)C#N)c1ccccc1
4,COC(=O)C(=[NH+][C-](C#N)C(C)=O)C(=O)OC
5,COC(=O)[C-]([NH+]=C(C)C(C)=O)C(C)=O
6,[CH2-][O+]=CC(=O)NC
7,COC(=O)C(C#N)=[N+](C)[N-]c1ccccc1
8,CC(=O)[N-][N+](C)=C(C)C#N
9,N#CC(=[NH+][C-](C#N)c1ccccc1)c1ccccc1
10,C[N-][NH+]=C(C(=O)OC)C(=O)OC
11,COC(=O)C(=[NH+][C-](C(=O)OC)C(=O)OC)C(=O)OC
12,CNC(=O)[C-]([NH+]=C(C(C)=O)C(C)=O)C(=O)NC
13,CNC(=O)C(=[NH+][CH-]C(=O)OC)C(=O)NC
14,CC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)c1ccccc1
15,CNC(=O)C(=[O+][C-](C#N)C(C)=O)C(=O)NC
16,CC=[NH+][C-](C#N)C(C)=O
17,COC(=O)C(C#N)=[N+](C)[C-](C#N)C(C)=O
18,CC(=O)C(C#N)=[NH+][C-](C#N)C#N
19,CNC(=O)[C-](C(=O)NC)[N+](C)=Cc1ccccc1
20,COC(=O)[N-][O+]=Nc1ccccc1
21,COC(=O)C(C#N)=[NH+][C-](C)C#N
22,COC(=O)N=[O+][N-]c1ccccc1
23,CNC(=O)[C-]([NH+]=C(C)C(=O)OC)c1ccccc1
24,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
25,CNC(=O)[CH-][O+]=C(C#N)C(=O)OC
26,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(=O)NC
27,C[CH-][O+]=C(C(C)=O)c1ccccc1
28,C[C-](C#N)[N+](C)=Cc1ccccc1
29,COC(=O)C(=[O+][CH-]c1ccccc1)C(=O)OC
30,C[N-][NH+]=C(C)C(=O)OC
31,CNC(=O)C(C)=[N+](C)[C-](C#N)C(=O)NC
32,C[N-][N+](C)=C(C(C)=O)C(=O)NC
33,COC(=O)C(=[O+][N-]C#N)C(=O)OC
34,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(=O)OC)c1ccccc1
35,N#CC(C#N)=[NH+][N-]c1ccccc1
36,CC(C)=[N+](C)[C-](C)C#N
37,C[CH-][NH+]=C(C)C(=O)NC
38,CC(=O)[CH-][NH+]=C(C(C)=O)c1ccccc1
39,CNC(=O)C=[NH+][CH-]C#N
40,CC(C)=[O+][C-](C)C#N
41,CNC(=O)C(=[O+][C-](c1ccccc1)c1ccccc1)C(=O)NC
