,dipole_smiles
0,CNC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
1,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)C(C)=O
2,CNC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
3,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
4,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)c1ccccc1
5,CNC(=O)c1[nH+][n-]c(=O)o1
6,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(C)=O
7,CC(=O)C(C#N)=[N+](C)[C-](C)C
8,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C
9,COC(=O)[N-][NH+]=N
10,CC(=O)N=[N+](C)[NH-]
11,COC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
12,CC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
13,COC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(=O)OC
14,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
15,CNC(=O)C(C(=O)NC)=[N+](C)[C-](c1ccccc1)c1ccccc1
16,CNC(=O)[C-]([N+]#N)C(=O)NC
17,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
18,CC(=O)c1oc(=O)[n-][n+]1C
19,COC(=O)[C-](C(C)=O)[N+](C)=C(C)C
20,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
21,CNC(=O)[N-][N+]#N
22,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
23,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
24,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(=O)OC
25,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
26,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(=O)NC)c1ccccc1
27,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)c1ccccc1
28,CC(=O)[c-]1c(=O)oc(C)[n+]1C
29,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
30,CC(=O)[C-](C#N)[N+](C)=C(C)C
31,CNC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
32,C[n+]1c(-c2ccccc2)oc(=O)[c-]1C#N
33,CC(=O)[C-](C#N)[N+]#N
34,[O-][NH+]=C(c1ccccc1)c1ccccc1
35,COC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
36,COC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
37,CNC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
38,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
39,CNC(=O)C(C)=[N+](C)[C-](C(=O)OC)C(=O)OC
40,Cc1oc(=O)[n-][n+]1C
41,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
42,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(=O)OC
43,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
