,dipole_smiles
0,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
1,C[c-]1[nH+]noc1=O
2,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
3,C[N+]([O-])=C(c1ccccc1)c1ccccc1
4,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
5,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
6,COC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
7,CNC(=O)C(c1ccccc1)=[N+](C)[O-]
8,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
9,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
10,CNC(=O)[N-][NH+]=N
11,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(=O)OC)c1ccccc1
12,CN=[N+](C)[O-]
13,COC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
14,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)c1ccccc1
15,CNC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
16,C[N-][NH+]=NC(=O)NC
17,COC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
18,CN=[NH+][N-]C(=O)NC
19,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC
20,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)C(=O)NC
21,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
22,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
23,CC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
24,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)C(C)=O
25,CN=[NH+][N-]C(=O)OC
26,CNC(=O)[C-]([N+]#N)C(C)=O
27,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(C)=O
28,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
29,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
30,COC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
31,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
32,CC(=O)C(C#N)=[N+](C)[C-](C)C
33,COC(=O)c1[nH+][n-]c(=O)o1
34,CN=[N+](C)[N-]C(=O)NC
35,CC(=O)c1oc(=O)[n-][n+]1C
