,dipolarophile
0,COC(=O)C(C(=O)OC)=C(C(=O)OC)c1ccccc1
1,O/C(Br)=C(\O)Br
2,COC(=O)C(C#N)=C(C#N)C#N
3,CC(C)=C(c1ccccc1)c1ccccc1
4,COC(=O)C(C(C)=O)=C(C(C)=O)C(C)=O
5,CC(C)=C(C)F
6,C=C(O)O
7,OC(Br)=C(Br)Br
8,COC(=O)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
9,O/C(F)=C(\O)F
10,COC(=O)/C(O)=C(\O)C(=O)OC
11,CNC(=O)/C(=C(\C(=O)NC)C(F)(F)F)C(F)(F)F
12,COC(=O)C(F)=C(F)F
13,CNC(=O)C(C(=O)NC)=C(C(F)(F)F)C(F)(F)F
14,CC(Cl)=C(Cl)Cl
15,CNC(=O)/C(C#N)=C(/C#N)C(=O)NC
16,COC(=O)/C(C#N)=C(\C#N)C(=O)OC
17,CNC(=O)C=C(C(=O)NC)C(=O)NC
18,OC(O)=C(O)Cl
19,N#CC(C#N)=C(O)O
20,C=C(c1ccccc1)c1ccccc1
21,CC(=O)C(Cl)=C(Cl)Cl
22,CNC(=O)C(C(=O)NC)=C(C)C
23,N#C/C(O)=C(\O)C#N
24,CC(=O)C(C(C)=O)=C(C(C)=O)c1ccccc1
25,ClC(Cl)=C(Cl)c1ccccc1
26,CNC(=O)/C(=C(/C(=O)NC)C(F)(F)F)C(F)(F)F
27,COC(=O)/C(C)=C(/C)C(=O)OC
28,C/C=C/C
29,C=C(C(C)=O)C(C)=O
30,CC(=O)C(C(C)=O)=C(C)C
31,CC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
32,COC(=O)C(F)=C(C(=O)OC)C(=O)OC
33,CC(=O)C(C(C)=O)=C(c1ccccc1)c1ccccc1
34,F/C(=C(/F)c1ccccc1)c1ccccc1
35,CC(C)=C(C)O
36,CC(C)=C(Cl)Cl
37,CNC(=O)C(C)=C(C(=O)NC)C(=O)NC
38,CNC(=O)/C=C/C(=O)NC
